SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
ASIANHOTNR,EQ,137.95,137.95,137,137,137,131,21,2896,10-JUL-2017,3,INE363A01022,nse
ASIANPAINT,EQ,1215.45,1215.45,1075,1127.75,1127,1115.45,70602,79593495.9,10-JUL-2017,2627,INE021A01026,nse
ASIANTILES,EQ,500,500,445,453.45,451.15,449.7,8998,4070659.75,10-JUL-2017,207,INE022I01019,nse
ASLIND,SM,30,30,30,30,30,31.55,32000,96e4,10-JUL-2017,3,INE617I01024,nse
ASPINWALL,BE,208,210.95,202,210.95,210.95,207.85,402,84790,10-JUL-2017,18,INE991I01015,nse
ASSAMCO,EQ,7.25,7.3,6.85,7.1,7.1,7.15,303467,2172086.05,10-JUL-2017,249,INE442A01024,nse
ASTEC,EQ,580,590,575.2,581.05,583.2,582.05,2019,1178103.3,10-JUL-2017,126,INE563J01010,nse
ASTRAL,EQ,690,765,670,676.4,676.6,680.15,14166,9661581.2,10-JUL-2017,263,INE006I01046,nse
ASTRAMICRO,EQ,139,140.5,138.95,139.75,139.9,138.9,58365,8163302,10-JUL-2017,470,INE386C01029,nse
ASTRAZEN,EQ,990,1e3,969,978.7,973,990.6,1090,1075976.2,10-JUL-2017,198,INE203A01020,nse
ATFL,EQ,499.55,507.5,499.55,505.05,505,499.55,3015,1522425.35,10-JUL-2017,48,INE209A01019,nse
ATLANTA,EQ,109.4,110.45,108.6,109.4,109.05,108.6,25637,2801796.25,10-JUL-2017,642,INE285H01022,nse
ATLASCYCLE,BE,366,384,366,373.7,377,379.3,412,153769.1,10-JUL-2017,31,INE446A01017,nse
ATUL,EQ,2549,2549,2426,2476.75,2468,2500.1,1554,3854736.5,10-JUL-2017,169,INE100A01010,nse
ATULAUTO,EQ,429.8,429.8,413.5,421.45,420.3,426.2,3200,1351408.6,10-JUL-2017,160,INE951D01028,nse
AUBANK,EQ,530,547,523.7,541.65,536.75,525,10585689,5675821262.65,10-JUL-2017,99367,INE949L01017,nse
AURDIS,SM,39.2,39.2,39.2,39.2,39.2,39,2000,78400,10-JUL-2017,1,INE448V01019,nse
AURIONPRO,EQ,123,123.6,120.5,121.25,120.55,121,1026,124679.55,10-JUL-2017,45,INE132H01018,nse
AUROPHARMA,EQ,702,712,690,709.4,711.9,697.05,606940,429899654.6,10-JUL-2017,10801,INE406A01037,nse
AUSOMENT,EQ,25.05,26.8,25.05,25.85,26.8,25.9,451,11508.25,10-JUL-2017,6,INE218C01016,nse
AUSTRAL,BE,0.3,0.35,0.25,0.3,0.3,0.3,60338,18887.4,10-JUL-2017,18,INE455J01027,nse
AUTOAXLES,EQ,750,759.95,742,747.7,749.8,748.15,2810,2100766.65,10-JUL-2017,132,INE449A01011,nse
AUTOIND,EQ,54,56.4,54,54.35,54.15,55.2,2847,155004.85,10-JUL-2017,50,INE718H01014,nse
AUTOLITIND,EQ,62.5,63.7,62.4,62.7,62.85,63.05,4395,274862.65,10-JUL-2017,36,INE448A01013,nse
AVANTIFEED,EQ,1555.3,1564.7,1477,1547.05,1551,1540.6,7598,11776672.3,10-JUL-2017,567,INE871C01020,nse
AVTNPL,EQ,43.25,43.45,42.15,43.05,43.15,43.05,18485,794557.95,10-JUL-2017,172,INE488D01021,nse
AXISBANK,EQ,521,529.75,488.4,509.95,510,503.15,1245716,635914884.6,10-JUL-2017,7548,INE238A01034,nse
AXISCADES,EQ,149,149,146.35,147.5,147.5,148.85,10073,1486687.45,10-JUL-2017,283,INE555B01013,nse
AXISGOLD,EQ,2490,2490,2475,2482.35,2478.95,2490.35,101,251217.55,10-JUL-2017,27,INF846K01347,nse
AXISNIFTY,EQ,968,968,830.3,852.48,832.1,967.86,211,181307.78,10-JUL-2017,16,INF846K01ZL0,nse
AYMSYNTEX,EQ,76,76,72,72.8,72.6,75.5,42306,3106527.2,10-JUL-2017,182,INE193B01039,nse
BAFNAPHARM,EQ,30,30.7,29.95,30.2,30.25,29.7,12214,370442.05,10-JUL-2017,106,INE878I01014,nse
BAGFILMS,EQ,4.65,4.8,4.55,4.7,4.7,4.65,42389,197761.6,10-JUL-2017,49,INE116D01028,nse
BAJAJ-AUTO,EQ,2844,2844,2700,2730.65,2731,2708.25,20831,56857642.95,10-JUL-2017,1050,INE917I01010,nse
BAJAJCORP,EQ,400,400,393.05,396.4,397.4,395.4,10917,4320668.75,10-JUL-2017,403,INE933K01021,nse
BAJAJELEC,EQ,335,335,325,330.7,332,328.6,18427,6103197.8,10-JUL-2017,390,INE193E01025,nse
BAJAJFINSV,EQ,4116.1,4145.3,4090.7,4103,4090.7,4115.9,17464,71805556.25,10-JUL-2017,1153,INE918I01018,nse
BAJAJHIND,EQ,16.5,16.5,15.65,15.9,15.95,16.35,844775,13484256,10-JUL-2017,1282,INE306A01021,nse
BAJAJHLDNG,EQ,1750,2158,1750,2127.1,2120.2,2135.3,814,1720056.25,10-JUL-2017,161,INE118A01012,nse
BAJFINANCE,EQ,1451.55,1451.55,1395,1412.8,1411.55,1391.7,150018,211560811.05,10-JUL-2017,3910,INE296A01024,nse
BALAJITELE,EQ,175,175,154.6,167.4,168,171.15,105606,17827097.4,10-JUL-2017,1125,INE794B01026,nse
BALAMINES,EQ,375,375,360,368.35,368.9,358.15,18362,6790995.05,10-JUL-2017,318,INE050E01027,nse
BALKRISHNA,EQ,80,81.4,79.2,79.95,80,79.6,4669,373295.15,10-JUL-2017,76,INE875R01011,nse
BALKRISIND,EQ,1653.75,1716.95,1653.75,1699.85,1700,1704.85,78940,134223971.6,10-JUL-2017,688,INE787D01026,nse
BALLARPUR,EQ,16.3,16.7,16.2,16.6,16.65,16.25,287292,4757377.7,10-JUL-2017,468,INE294A01037,nse
BALMLAWRIE,EQ,275,275,233,243.4,243.05,233.8,118244,28673319.75,10-JUL-2017,1987,INE164A01016,nse
BALPHARMA,EQ,99.95,99.95,90.9,95.25,95.6,93.8,5569,529594.95,10-JUL-2017,84,INE083D01012,nse
BALRAMCHIN,EQ,153.5,154.5,152.5,153.15,153.5,155.05,137609,21118749.3,10-JUL-2017,1425,INE119A01028,nse
BANARBEADS,EQ,72.55,72.55,72.55,72.55,72.55,69.3,5,362.75,10-JUL-2017,1,INE655B01011,nse
BANARISUG,EQ,1830,1830,1800,1819.15,1825,1825.8,24,43747.85,10-JUL-2017,9,INE459A01010,nse
BANCOINDIA,EQ,224,225,222.05,223.35,223.75,223.3,7868,1756450.5,10-JUL-2017,125,INE213C01025,nse
BANG,EQ,36.6,36.6,36.5,36.5,36.5,36.65,512,18689.2,10-JUL-2017,3,INE863I01016,nse
BANKBARODA,EQ,166,167.5,154.4,166.6,166.6,160.55,6073542,1010783793.85,10-JUL-2017,25944,INE028A01039,nse
BANKBEES,EQ,2381,2399,2372.5,2395.59,2391,2379.09,304,726959.05,10-JUL-2017,84,INF732E01078,nse
BANKINDIA,EQ,155,155,141.9,149.2,149.25,141.2,1912180,283048725.75,10-JUL-2017,8736,INE084A01016,nse
BANSWRAS,EQ,171,174.5,171,174,174.5,173.95,2694,466027.1,10-JUL-2017,20,INE629D01012,nse
BARTRONICS,EQ,16.8,16.85,16,16.15,16.25,16.6,21868,354330.15,10-JUL-2017,121,INE855F01034,nse
BASF,EQ,1714,1798,1695,1699.7,1700.9,1696.25,1215,2069972.45,10-JUL-2017,124,INE373A01013,nse
BASML,EQ,337,347,336.95,338.5,339,329.55,1079,364914.7,10-JUL-2017,21,INE186H01014,nse
BATAINDIA,EQ,590,590,570,577.7,578.5,573.65,165267,95304129.6,10-JUL-2017,3357,INE176A01028,nse
BAYERCROP,EQ,4799.45,4799.45,4600.1,4609.95,4610,4628.5,4189,19334167.75,10-JUL-2017,280,INE462A01022,nse
BBL,EQ,1366,1399.5,1366,1376.05,1375,1360.65,7521,10427741.1,10-JUL-2017,452,INE464A01028,nse
BBTC,EQ,912,912,886.05,894.4,893.3,897.35,14267,12810060.4,10-JUL-2017,558,INE050A01025,nse
BEARDSELL,EQ,54.75,57.8,54.75,56.15,56,55.4,570,31303.8,10-JUL-2017,10,INE520H01022,nse
BEDMUTHA,BE,37,39,36.8,37.65,36.9,38.7,4785,178386.3,10-JUL-2017,19,INE844K01012,nse
BEL,EQ,172,174.15,166.35,172.7,172.9,170.2,697237,120369270.15,10-JUL-2017,6384,INE263A01024,nse
BEML,EQ,1570,1589.7,1550.15,1572.35,1571.1,1564.35,114542,180582964.7,10-JUL-2017,3874,INE258A01016,nse
BEPL,EQ,69.3,71,69.1,70.4,70.6,69.15,811445,57086595.05,10-JUL-2017,3003,INE922A01025,nse
BERGEPAINT,EQ,253,253,247,251.65,252.5,245.15,208808,52424451.8,10-JUL-2017,2726,INE463A01038,nse
BFINVEST,EQ,192,193.6,188.5,189.6,188.6,190.85,15357,2925615.65,10-JUL-2017,385,INE878K01010,nse
BFUTILITIE,EQ,396,407.35,396,401.95,401,402,49484,19898563.85,10-JUL-2017,1112,INE243D01012,nse
BGLOBAL,BE,5.7,5.8,5.7,5.8,5.8,5.55,110,628,10-JUL-2017,2,INE224M01013,nse
BGRENERGY,EQ,153.5,154.4,149,153.65,153.25,152.75,24134,3703880,10-JUL-2017,298,INE661I01014,nse
BHAGERIA,EQ,319.85,325,314.1,316.65,318.4,318.85,4139,1313877.45,10-JUL-2017,122,INE354C01027,nse
BHAGYANGR,EQ,24.5,24.5,23.45,24.3,24.3,24.9,1168,28250.35,10-JUL-2017,18,INE458B01036,nse
BHANDARI,EQ,2.2,2.3,2.1,2.3,2.3,2.3,92921,211417.85,10-JUL-2017,92,INE474E01029,nse
BHARATFIN,EQ,748,770.5,729,765.05,767.55,739.4,938306,713485384.4,10-JUL-2017,16766,INE180K01011,nse
BHARATFORG,EQ,1090,1130,1075,1120.5,1115,1120.85,83120,93057004.75,10-JUL-2017,2092,INE465A01025,nse
BHARATGEAR,EQ,158,164.85,129,159.65,160.2,160.35,3467,550319.1,10-JUL-2017,135,INE561C01019,nse
BHARATIDIL,EQ,9.25,9.6,9.2,9.35,9.35,9.7,17876,167357.15,10-JUL-2017,44,INE673G01013,nse
BHARATRAS,EQ,2900,2944.95,2883,2927.8,2927.8,2910,129,376757.2,10-JUL-2017,14,INE838B01013,nse
BHARATWIRE,EQ,97,97.25,95,95.75,96,97.45,31292,3003234.25,10-JUL-2017,174,INE316L01019,nse
BHARTIARTL,EQ,388.1,410.15,363.8,405.7,405,385.9,1901518,768356181.1,10-JUL-2017,14555,INE397D01024,nse
BHEL,EQ,137.85,138.6,127,137.65,137.5,135,984995,135639269.3,10-JUL-2017,5727,INE257A01026,nse
BHUSANSTL,EQ,66,69.5,62.5,67.45,67.2,66.5,248723,16910113.75,10-JUL-2017,1613,INE824B01021,nse
BIGBLOC,EQ,82,85.4,82,84.8,84.3,81.3,23217,1964289.6,10-JUL-2017,163,INE412U01017,nse
BIL,EQ,590,594,582,586.3,585.5,589.2,18852,11055069.3,10-JUL-2017,110,INE828A01016,nse
BILENERGY,EQ,0.75,0.75,0.75,0.75,0.75,0.8,11,8.25,10-JUL-2017,1,INE607L01029,nse
BINANIIND,EQ,80.1,81,79,80.2,80.4,80.55,6385,511923.25,10-JUL-2017,72,INE071A01013,nse
BINDALAGRO,EQ,24.8,24.95,24.6,24.85,24.95,24.95,18474,458600.65,10-JUL-2017,76,INE143A01010,nse
BIOCON,EQ,370,370,303.5,322.05,321.9,336.85,590777,190626214.85,10-JUL-2017,11253,INE376G01013,nse
BIRLACABLE,EQ,47.1,47.1,45.8,46.2,46.3,46.25,4080,188802.5,10-JUL-2017,45,INE800A01015,nse
BIRLACORPN,EQ,871.25,886.1,871.2,881,874.5,879.25,4343,3822259.65,10-JUL-2017,340,INE340A01012,nse
BIRLAMONEY,EQ,88.9,92,88.9,92,92,87.65,36973,3378681,10-JUL-2017,155,INE865C01022,nse
BLBLIMITED,BE,6.55,6.55,6.15,6.15,6.15,6.3,1080,6877,10-JUL-2017,6,INE791A01024,nse
BLISSGVS,EQ,152.5,152.5,151,151.15,151.25,151.05,8736,1322952.65,10-JUL-2017,102,INE416D01022,nse
BLKASHYAP,EQ,48.3,50.45,48.05,48.45,48.5,47.8,82151,4002109.5,10-JUL-2017,346,INE350H01032,nse
BLS,EQ,201.2,204.5,196,200.35,200.25,204.1,33852,6820400.75,10-JUL-2017,440,INE153T01027,nse
BLUEBLENDS,EQ,50.8,50.8,45.3,48.9,49,49.75,23126,1125722.05,10-JUL-2017,267,INE113O01014,nse
BLUEDART,EQ,4920,4998,4774,4822.45,4848,4830.7,2269,10940464.1,10-JUL-2017,340,INE233B01017,nse
BLUEDART,N1,9.5,9.5,9.5,9.5,9.5,9.8,700,6650,10-JUL-2017,1,INE233B08087,nse
BLUESTARCO,EQ,605,669.3,600,604.9,600,602.95,4115,2497163,10-JUL-2017,193,INE472A01039,nse
BODALCHEM,EQ,164,168,161,166.7,167,163.5,129534,21564139.35,10-JUL-2017,1539,INE338D01028,nse
BOHRA,SM,47.05,50.8,47.05,50.8,50.8,51.4,4000,195700,10-JUL-2017,2,INE802W01015,nse
BOMDYEING,EQ,90.1,90.1,86,89.55,89.6,89.55,416133,37147811.15,10-JUL-2017,2670,INE032A01023,nse
BOSCHLTD,EQ,23600,23999,23500,23890,23950,23585.3,5755,137044095.55,10-JUL-2017,1859,INE323A01026,nse
BPCL,EQ,645.2,691.2,645.2,664.65,663.7,663.95,489540,326648373.15,10-JUL-2017,5810,INE029A01011,nse
BPL,EQ,71.45,71.65,70.5,71.2,71.3,70.95,22012,1569149.4,10-JUL-2017,231,INE110A01019,nse
BRFL,EQ,128.7,128.7,126,126.45,126.5,126.3,6212,785837.75,10-JUL-2017,112,INE589G01011,nse
BRIGADE,EQ,262.25,265.9,261.95,264.35,263,261.25,11195,2953451.15,10-JUL-2017,219,INE791I01019,nse
BRITANNIA,EQ,3710.45,3748.8,3698,3715.95,3712.2,3692.35,17112,63573491.35,10-JUL-2017,1157,INE216A01022,nse
