SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1405,1425,1395,1401.6,1401.6,1404.95,410,2151,3019730,NA,bse,2017-04-21
500003,AEGIS LOGIS ,B ,Q,188.9,189.5,186.2,188.15,188.15,188.8,1397,84160,15872941,NA,bse,2017-04-21
500008,AMAR RAJA BA,A ,Q,873,877.45,867.6,874.4,874.4,867.35,1366,25370,22170439,NA,bse,2017-04-21
500009,A.SARABHAI  ,XT,Q,13.09,13.09,12.36,12.52,12.51,12.51,73,26291,332201,NA,bse,2017-04-21
500010,HDFC        ,A ,Q,1524.9,1526.7,1491.95,1507.15,1507.15,1516.95,2589,60330,90815480,NA,bse,2017-04-21
500012,ANDHRA PETRO,XC,Q,32,32.9,31.1,31.6,31.6,32,184,70977,2260690,NA,bse,2017-04-21
500013,ANSAL INFRAS,B ,Q,26.05,26.6,25.35,25.75,25.75,25.9,1015,316414,8218964,NA,bse,2017-04-21
500014,APPLE FINANC,XD,Q,3.05,3.2,3.01,3.13,3.05,3.1,36,49340,154309,NA,bse,2017-04-21
500020,BOM DYEING  ,B ,Q,85.85,91.85,84.7,87.85,87.85,84.7,13168,3051858,270967144,NA,bse,2017-04-21
500023,ASIANHOTNR  ,B ,Q,132.05,135.3,132,135,135,133.5,20,6860,911676,NA,bse,2017-04-21
500024,ASSAMCO     ,B ,Q,7.9,7.93,7.76,7.81,7.82,7.81,109,97357,762337,NA,bse,2017-04-21
500027,ATUL LTD.   ,A ,Q,2448.95,2512.75,2439,2493.25,2475,2425.9,362,1139,2818920,NA,bse,2017-04-21
500028,ATV PROJECTS,XT,Q,7.37,7.38,6.69,7.32,6.8,7.03,79,49216,355640,NA,bse,2017-04-21
500029,AUTOLITE(I) ,B ,Q,59.15,63,58.8,59.9,59.9,59.95,329,37614,2275248,NA,bse,2017-04-21
500030,AUTORID.FIN ,T ,Q,1.14,1.14,1.14,1.14,1.14,1.2,2,938,1069,NA,bse,2017-04-21
500031,BAJAJ ELECT.,A ,Q,359,359,347.9,349.05,349.95,357.8,647,26054,9179337,NA,bse,2017-04-21
500032,BAJAJHIND   ,B ,Q,16.65,17.8,16.61,17.55,17.55,15.54,12178,8861256,153137308,NA,bse,2017-04-21
500033,FORCE MOTR  ,B ,Q,4493,4640,4485,4611.95,4611.95,4466.9,6945,75475,345869654,NA,bse,2017-04-21
500034,BAJFINANCE  ,A ,Q,1252,1261,1237,1246.95,1245,1251.9,1731,37823,47281703,NA,bse,2017-04-21
500038,BALRAM.CHINI,A ,Q,164.7,168.9,164.2,165.7,165.7,160,5881,660256,110017673,NA,bse,2017-04-21
500039,BANCO PROD. ,B ,Q,231.6,233.55,227.8,229.25,229,223.95,1151,72249,16644553,NA,bse,2017-04-21
500040,CENTURY TEXT,A ,Q,1136,1146,1122,1135.05,1135.05,1135.5,2926,88266,100250222,NA,bse,2017-04-21
